waarborg_id,bm_toegepast,bm_referte,bm_vorige
94768588,11,11,
94777607,11,,11
94785680,0,,
94789982,11,,11
94790006,-2,,-2
94790015,1,1,
94795615,6,6,
94795624,6,6,
94795633,6,6,
94795699,5,5,
94795741,5,5,
94795813,5,5,
94795936,5,5,
94799255,-2,,-2
94818965,-2,,-2
94851200,-2,-2,
94864706,8,8,
94905962,-2,-2,
94906625,10,10,
94911500,9,,9
94912607,5,5,
94913405,3,,4
94913411,3,,4
94937134,11,11,
94937149,11,11,
94941797,-2,,-2
94941809,-2,,-2
94966118,9,,9
94980932,0,0,
94982855,0,,
94988644,11,11,
94989784,-2,,-2
94989790,0,,0
94990430,0,,0
94990436,0,,0
95007359,-2,,-2
95007365,0,,0
95021393,0,0,
95062526,-2,-2,
95085338,-2,,-2
95085359,-2,-2,
95085692,-2,-2,
95098508,-2,,-2
95102024,-2,,-2
95102030,0,,0
95102045,0,,0
95114936,3,,
95129123,0,,0
95130787,-2,,-2
95166937,-2,,-2
95166946,0,,0
95214371,-2,,
95214377,0,,
95221454,6,,5
95241383,6,,6
95242340,-2,-2,
95242565,-2,-2,
95242592,-2,-2,
95242619,-2,-2,
95243582,0,,0
95243588,0,,0
95287067,1,,1
95291961,-2,-2,
95300570,-2,,-2
95301839,-2,,
95310796,-1,,-1
95316874,-2,,
95322839,6,,
95322845,3,,
95324183,-2,,
95324189,0,,
95324198,-2,-2,
95341565,-2,,-2
95380219,-2,,-2
95380225,0,,0
95386388,-2,-2,
95396099,-2,,-2
95396105,0,,0
95396284,-2,,-2
95396290,0,,0
95396299,-2,,-2
95396305,0,,0
95396329,6,,6
95396359,5,,5
95396365,3,,3
95396374,-2,,-2
95396380,0,,0
95396452,4,,4
95396458,1,,1
95396503,-2,,-2
95396509,0,,0
95396545,0,,0
95396551,0,,0
95418215,-2,,-2
95418221,0,,
95446456,-2,-2,
95449718,-2,,-2
95449724,0,,
95453171,-2,,-2
95453177,0,,0
95460965,-2,-2,
95468813,10,10,
95473204,-2,,-2
95473210,0,,0
95480369,-2,,-2
95502805,-2,-2,
95503045,-2,-2,
95503199,5,5,
95514200,-2,-2,
95514206,-2,-2,
95526890,10,10,
95526935,11,11,
95551061,4,,
95551097,2,2,
95553448,7,,
95581352,4,,4
95581358,1,,1
95593676,2,,2
95601797,0,0,
95612990,4,,4
95614957,-2,-2,
95615116,2,2,
95624009,-1,-1,
95625808,-2,,-2
95625817,0,,0
95638369,0,,0
95659996,-2,-2,
95671150,0,,0
95671181,0,,0
95704109,-2,-2,
95706095,-2,-2,
95728994,11,11,
95742698,-2,-2,
95743654,11,11,
95752987,11,11,
95753258,-2,-2,
95787385,0,,0
95791106,5,,
95829317,-2,,
95829320,-2,,
95829323,-2,,
95837689,3,,3
95847446,-2,,-2
95862686,3,,3
95887028,6,,
95887090,6,,
95887132,-2,-2,
95891819,6,,6
95936797,11,11,
95942993,9,9,
95964824,11,11,
95973667,11,,
95982962,11,,11
95998063,-1,-1,
95998160,6,6,6
95998163,6,6,6
95998166,6,6,6
95998277,11,11,
96011419,-2,,-2
96011425,0,,0
96018611,8,,8
96019465,0,,0
96021187,8,,8
96077489,-2,-2,
96113872,11,11,11
96113875,11,11,11
96113878,11,11,11
96113881,11,11,11
96113884,11,11,11
96113887,11,11,11
96113890,11,11,11
96113893,11,11,11
96113896,2,2,2
96113899,2,2,2
96113902,2,2,2
96113905,2,2,2
96113908,2,2,2
96114007,-1,-1,
96115942,-1,-1,
96117916,-2,,
96119180,-2,,-2
96119186,0,,0
96123406,4,,4
96123412,1,,1
96130406,-2,-2,
96142804,5,5,
96143341,5,5,
96143380,6,6,
96143416,5,5,
96266224,6,6,
96267128,-1,-1,
96283540,-2,-2,
96286778,-2,,-2
96286784,0,,0
96286799,-2,,-2
96286811,-2,,-2
96293959,-2,-2,
96312844,-2,,-2
96314495,6,6,
96347066,-2,,
96351125,-2,,
96351338,4,4,
96351671,-2,-2,
96364342,6,6,
96395627,3,3,
96402941,-2,-2,
96405476,6,,6
96414482,2,2,
96445850,4,,4
96449546,0,,
96457712,-2,-2,
96484873,6,6,
96494164,6,6,
96495961,-2,-2,
96527068,-2,-2,
96527083,-2,-2,
96536129,-2,-2,
96551333,-2,-2,
96560039,0,0,
96578647,-2,-2,
96589187,4,,
96589193,1,,
96592255,6,6,
96599108,8,,8
96611045,-1,-1,
96614371,-2,-2,
96616481,8,,8
96637474,11,11,
96697505,2,,6
96697613,1,,1
96714881,0,0,
96750916,5,,
96750925,6,,6
96762818,9,9,
96762854,-2,-2,
96764723,4,4,
96771320,2,2,
96771350,-1,-1,
96771359,2,2,
96771392,4,4,
96771440,-1,-1,
96772547,11,,11
96772553,11,,11
96813217,0,,
96823253,-2,-2,
96827860,2,2,2
96827863,2,2,2
96827866,2,2,2
96827869,2,2,2
96827872,2,2,2
96827875,2,2,2
96828716,4,4,
96828992,-2,-2,
96845455,10,10,
96883496,1,,1
96883750,-2,,-2
96883835,10,10,
96889574,3,,3
96889580,0,,0
96890086,1,,1
96890092,0,,
96890372,8,8,
96890393,0,0,
96890432,0,0,
96894898,-2,-2,
96908557,11,11,
96910523,-2,,-2
96914911,-2,-2,
96915290,4,4,
96917729,4,4,
96917888,-2,,-2
96929450,-2,-2,
96940219,1,,1
96940225,0,,0
96943394,-2,,-2
96959153,-2,-2,
96959179,4,4,
96964333,0,,0
96972359,-2,-2,
96975457,-2,,-2
96991450,0,,
96993571,-2,-2,
97003781,0,,
97005425,0,,0
97012638,-1,-1,
97051341,5,,5
97051347,3,,3
97063130,11,11,
97064220,-2,-2,
97064262,-2,-2,
97068870,-2,-2,
97072334,8,,
97073325,-2,-2,
97083537,-2,-2,
97083585,-2,-2,
97090152,11,11,
97093823,4,4,
97093859,4,4,
97097480,-2,-2,
97130066,-2,-2,
97130072,-2,-2,
97161870,-1,,-1
97162305,4,4,
97173915,-2,-2,
97183412,8,,8
97185248,-2,,-2
97185254,0,,0
97202298,-2,-2,
97212723,5,,5
97222010,2,2,
97226577,2,2,2
97226580,2,2,2
97226583,2,2,2
97226586,2,2,2
97226589,2,2,2
97226592,2,2,2
97226595,2,2,2
97226598,2,2,2
97241474,0,,0
97243989,-2,-2,
97250430,-2,,-2
97277951,-2,,-2
97277957,0,,0
97302039,11,11,
97304670,-2,-2,
97338057,1,,
97347374,1,,1
97347380,0,,0
97359930,11,11,
97376016,6,,6
97376022,3,,3
97398498,11,11,
97398762,11,11,
97414410,-2,,-1
97415309,11,,11
97415315,11,,11
97421727,-2,-2,
97431459,-2,,-2
97435269,-2,-2,
97435794,5,,5
97435800,0,,0
97468341,-1,,-2
97477971,5,5,
97481505,-2,,-2
97481511,0,,0
97484277,0,,0
97491980,11,11,
97491983,11,11,
97495797,11,,11
97498005,0,0,
97517486,6,,6
97528557,-1,,-1
97588038,13,,13
97599350,6,6,
97610273,11,11,
97613910,-2,-2,
97616520,-2,,-2
97616529,0,,
97619904,4,4,
97637874,6,,6
97642710,11,11,
97644246,11,11,
97645638,-2,-2,
97647929,0,,
97654350,4,,4
97654365,-2,,-2
97654371,5,,5
97654377,3,,3
97669140,6,,6
97669146,3,,3
97669161,3,,3
97671453,-1,,0
97671459,0,,0
97671468,-2,,-2
97671474,0,,0
97671483,-2,,-2
97671489,0,,0
97671498,4,,5
97671504,3,,3
97671525,-2,,-2
97671531,0,,0
97671537,-2,,-2
97671543,0,,0
97671549,-2,,-2
97671555,0,,0
97671567,3,,3
97671579,3,,4
97671585,1,,1
97671594,4,,5
97671600,0,,0
97671609,-2,,-2
97671615,0,,0
97671633,0,,0
97671639,-2,,-2
97671645,0,,0
97671660,11,,11
97671669,3,,4
97671675,1,,1
97671681,4,,5
97671687,0,,0
97671693,-2,,-2
97671699,0,,0
97671705,-2,,-2
97671711,0,,0
97671717,11,,11
97671723,-2,,-2
97671729,0,,0
97679391,9,,9
97679397,9,,9
97685808,5,,5
97685868,4,4,
97697076,-2,,-2
97697124,-2,,-2
97697984,-2,,-2
97697990,0,,0
97697999,-2,,-2
97755407,-2,-2,
97760292,6,,
97765581,2,2,
97773899,4,,4
97780278,9,9,
97781465,11,11,
97787822,4,4,
97791290,2,,2
97800990,3,3,
97802912,-2,,-2
97804301,-2,-2,
97808166,-2,,-2
97822899,-2,,-2
97822926,-2,,-2
97822932,0,,0
97822947,-2,,-2
97822968,0,,0
97822974,0,,0
97822983,-1,,0
97822989,0,,0
97823496,-2,-2,
97846631,-2,-2,
97854171,-2,,
97854177,0,,
97859082,9,,9
97860807,8,,
97860846,8,,8
97873076,-2,,-2
97873085,0,,0
97873146,-2,,-2
97873155,0,,0
97889514,-2,,-2
97921776,7,,
97921800,11,,11
97921806,11,,11
97924500,5,5,
97959279,0,,
98006520,4,,4
98006523,-2,,-2
98006529,0,,0
98033148,10,,
98037821,-2,,-2
98037830,0,,0
98037971,-2,,-2
98037977,0,,0
98037995,-2,,-2
98038001,0,,0
98038007,-2,,-2
98038013,0,,0
98038022,-2,,-2
98038028,0,,0
98057682,-2,,-2
98059292,-2,,-2
98059298,0,,0
98061081,-2,-2,
98070365,10,,
98094342,12,,
98123072,4,,4
98123078,1,,1
98148248,-2,,-2
98150217,-2,-2,
98158560,-2,,-2
98159772,4,4,
98163023,-2,,-2
98172560,6,6,
98181024,1,1,
98182272,-2,-2,
98182299,-2,-2,
98196372,-2,-2,
98202582,0,0,
98216129,10,,
98255139,-2,,-2
98258849,-2,-2,
98263929,8,,
98266194,6,,6
98266254,6,,6
98267355,-2,,-2
98269442,-2,,-2
98269463,12,,12
98269469,12,,12
98279157,10,,
98281155,-2,,-2
98284677,6,,
98289546,-2,-2,
98320838,10,,10
98324958,-2,-2,
98543075,4,4,
98561810,-2,-2,
98683880,10,,10
98695086,-2,,-2
98695092,0,,0
98698719,14,14,
98800743,3,,3
98816661,2,,2
98818530,-2,,-1
98818536,2,,3
98818569,-2,,-1
98819967,10,,
98819976,10,,
98819985,10,,
98819994,10,,
98820003,10,,
98820012,10,,
98828084,-2,-2,
98837832,11,11,
98848167,-2,,-2
98848263,-2,-2,
98953339,7,,7
98963218,5,,5
99075288,-2,-2,
99085119,7,7,
99090691,-2,,
99127776,-1,-1,
99146736,-2,-2,
99147927,-2,-2,
99178702,-2,,-2
99180372,0,0,
99196048,-2,-2,
99203554,4,4,
99231561,-2,-2,
99246157,10,,
99250966,-2,,
99251068,-2,,-2
99270852,10,10,
99277677,0,,0
99290253,6,,6
99295776,-2,,-2
99295785,-2,,-2
99295791,0,,0
99295800,-2,,-2
99295809,-1,,-1
99295815,0,,0
99295824,-1,,-1
99295830,0,,0
99295839,0,,0
99295845,0,,0
99305787,5,,5
99306433,5,,5
99332151,-2,,-2
99332422,0,0,
99352414,-2,,
99355963,2,,2
99363847,-2,,-2
99368860,-2,-2,
99378057,3,3,
99389920,-2,-2,
99407800,-2,,-2
99407809,-2,,-2
99419121,3,3,
99427506,11,,11
99427587,-2,,-2
99427719,-2,-2,
99432087,-2,-2,
99434793,10,,10
99438039,10,,
99467118,4,,4
99468279,0,,0
99468319,11,,
99472266,3,,3
99472272,0,,0
99474141,-2,,-2
99474147,0,,1
99483253,0,,
99483259,0,,0
99495456,8,,8
99503562,6,,6
99520650,7,,7
99524764,5,,
99530595,5,,5
99550743,-2,,-2
99559174,0,,
99561729,7,,7
99561735,1,,1
99599748,0,,-2
99599754,0,,0
99612855,4,,4
99612861,1,,1
99642307,-2,-2,
99642382,-2,-2,
99644470,-2,-2,
99650356,4,,4
99654334,11,11,
99663918,8,,8
99668248,0,0,
99676327,-2,,-2
99678676,-2,,-2
99687510,0,,0
99711375,-2,,-2
99724599,-2,,-2
99734802,-2,,
99734823,-2,,-2
99736824,-2,,-2
99737724,0,0,
99762993,7,,7
99781947,10,10,
99781983,10,10,
99793297,0,,0
99793303,0,,0
99803248,-2,-2,
99808044,-2,,
99808050,0,,
99814659,10,10,
99828444,10,10,
99836364,0,0,
99882052,-2,,-2
99894684,10,10,
99906618,4,,4
99906624,1,,1
99909355,-2,,-2
99909366,-2,,-2
99909372,0,,0
99911668,-2,,-2
99911674,0,,0
99919077,-2,,-2
99921102,0,0,
99971904,-2,-2,
99981732,4,,4
99981735,-2,,
99982348,4,,4
99991657,-2,,
99991696,-2,,-2
100022355,-2,,
100043979,-2,-2,
100047420,-2,-2,
100047429,6,6,
100055940,-2,,-2
100056051,-2,,-2
100060983,-2,-2,
100069074,-2,-2,
100105338,9,,9
100105374,9,,9
100109352,11,11,
100120323,11,11,
100134055,2,,2
100138573,-2,,-1
100138579,0,,0
100142514,14,,
100289085,-2,,-2
100289091,0,,0
100289599,5,5,
100300197,5,5,
100300233,6,6,
100350900,-1,-1,
100351519,0,,0
100807611,-1,,
100810068,5,5,
100818237,-1,,
100952434,-2,,-2
100953231,14,,14
100953634,9,9,
100954740,0,,
100962411,11,11,
101272254,3,,4
101275701,10,10,
101276826,-2,,
101298046,11,11,
101303476,-2,,
101321494,-2,,
101384046,-2,-2,
101384227,-2,-2,
101385196,-2,,-2
101385205,0,,0
101476680,-2,,-2
101661387,10,10,
101796976,-1,,-1
101848432,-1,,
101893689,0,0,
101903277,-1,-1,
101985344,4,4,
101994249,-2,,-2
101994255,0,,0
101994887,-2,-2,
102000549,8,8,
102000689,-2,-2,
102000698,-2,-2,
102002202,-2,,-2
102032112,-2,-2,
102107459,-1,,0
102107465,0,,0
102117476,11,,
102117494,3,,
102145566,0,,0
102145572,0,,0
102197523,-2,-2,
102217583,-2,-2,
102238474,-2,-2,
102260926,-2,,-2
102320701,0,0,
102333238,-2,-2,
102338101,10,,
102360448,-2,,-2
102360454,0,,0
102367069,6,,6
102393583,11,,11
102394588,11,,11
102394597,-2,,-2
102394603,0,,0
102407842,-2,-2,
102420524,0,0,
102433016,10,10,
102438571,-2,,-2
102471409,-2,,-2
102482743,4,,2
102482746,4,,4
102490981,10,,10
102491338,1,,1
102508228,-2,,-2
102508237,0,,0
102528551,0,,0
102540532,-2,-2,
102566060,0,,0
102566066,0,,0
102566090,0,,0
102566096,0,,0
102566108,14,,14
102566117,14,,14
102566123,0,,0
102566132,0,,0
102566141,0,,0
102566255,0,,0
102566264,14,,14
102566270,14,,14
102566279,14,,14
102566357,0,,0
102566363,0,,0
102578575,5,,5
102578579,2,,2
102588237,5,,5
102588243,2,,2
102608111,-2,,
102639848,-2,,-2
102639857,-2,,-2
102639863,0,,0
102639872,-2,,-2
102639878,0,,0
102669023,7,,-2
102677951,-2,,
102679289,-2,-2,
102681206,0,,0
102692928,7,,-2
102692934,5,,0
102759443,9,9,
102760164,0,,0
102760170,0,,0
102772611,1,1,
102779420,2,,
102781295,-2,,-2
102821103,-2,,-2
102823787,10,,
102830141,8,,
102830145,5,,
102837189,-2,-2,
102908030,-2,,-2
102908034,0,,0
102911260,-2,,
102920619,-2,,-2
102931603,5,,5
102931607,2,,3
102940973,10,10,10
102940975,10,10,10
102940977,10,10,10
102942729,10,10,
102972569,-2,,
102978317,4,,
102986680,2,,
102991437,9,9,
102998214,-2,,-2
103024005,-2,-2,
103028435,-2,,
103038486,9,9,
103054156,-2,,-2
103054160,0,,0
103069569,-2,,-2
103088057,-2,,-2
103095869,-2,-2,
103138689,-2,-2,
103143960,-2,,-2
103144022,5,,6
103369208,-2,,-2
103371413,3,,3
103394925,0,,0
103396315,0,,0
103396319,0,,0
103410617,7,,7
103417521,-2,,-2
103426513,0,,0
103426517,0,,0
103449295,1,,1
103449372,4,,4
103449382,3,,4
103449386,0,,1
103472349,-2,,-2
103495581,-2,,-2
103495585,0,,0
103520241,-2,,-2
103520245,0,,0
103532483,10,,10
103532487,10,,10
103539157,4,,4
103539161,1,,1
103570511,-2,,
103570513,-2,,
103570515,-2,,
103570517,-2,,
103570519,-2,,
103570521,-2,,
103570523,-2,,
103570525,-2,,
103570527,-2,,
103570529,-2,,
103577807,-2,,
103577809,-2,,
103577811,-2,,
103578577,-2,,
103578579,-2,,
103578581,-2,,
103578583,-2,,
103578585,-2,,
103578587,-2,,
103578589,-2,,
103580572,10,,10
103580576,10,,10
103588886,0,,
103591638,0,,0
103594935,-2,,-2
103594939,0,,0
103597062,-2,,-2
103627665,-2,-2,
103642435,4,,4
103645685,-1,,
103647265,-2,,-2
103647267,-2,,-2
103647269,-2,,-2
103647271,-2,,-2
103647273,-2,,-2
103647275,-2,,-2
103647277,-2,,-2
103647279,-2,,-2
103647281,-2,,-2
103647283,-2,,-2
103650632,-2,,-2
103650634,-2,,-2
103650636,-2,,-2
103650638,-2,,-2
103650640,-2,,-2
103650642,-2,,-2
103650644,-2,,-2
103651770,-2,,-2
103651774,-2,,-2
103663501,-1,,
103680705,-2,,-2
103680709,0,,0
103712775,2,,
103722161,9,,9
103722225,9,,9
103723782,8,,8
103729109,5,,5
103734104,3,3,
103738659,-2,,-2
103775639,4,,
103775642,4,,4
103815200,3,,3
103835139,0,,
103835141,0,,
103835143,0,,
103841301,0,,
103841303,0,,
103841305,0,,
103841307,0,,
103841309,0,,
103841311,0,,
103841313,0,,
103848415,0,,
103849233,7,,7
103858752,0,,
103860083,-2,-2,
103860211,4,,
103862992,4,,4
103865347,0,,
103865349,0,,
103874379,11,,
103892355,-2,,-2
103892443,0,,0
103895800,-2,,-2
103900749,-2,,-2
103908137,11,,11
103918987,-2,,
103920436,-2,,-2
103937842,10,,
103942263,8,,8
103942267,5,,5
103948143,10,,10
103970594,11,,
103970677,-2,,-2
103970715,0,,
103971591,11,,11
103974950,-2,-2,-2
103974951,-2,-2,-2
103974952,-2,-2,-2
103974953,-2,,
103974954,-2,,
103974955,-2,,
103974956,-2,,
103974957,-2,,
103974958,-2,,
103974959,-2,,
103974987,-2,,
103974988,-2,,
103974989,-2,,
103974990,-2,,
103974991,-2,,
103974992,-2,,
103974993,-2,,
103979463,-2,,
103979464,-2,,
103979465,-2,,
103979466,-2,,
103980611,-2,,-2
103982545,1,,
103982546,1,,
103982547,1,,
103982548,1,,
103982549,1,,
103982550,1,,
103982551,1,,
103982552,1,,
103982553,1,,
103982554,1,,
103982583,1,,
103982584,1,,
103982585,1,,
103982586,1,,
103982587,1,,
103982588,1,,
103982589,1,,
103983457,-2,,
103983458,-2,,
103983459,-2,,
103983460,-2,,
103983461,-2,,
103983462,-2,,
103983463,-2,,
103983862,-2,,
103983863,-2,,
103983864,-2,,
103988696,-2,,
103988697,-2,,
103988698,-2,,
103997122,-2,,-2
103997128,0,,0
104011614,-2,-2,
104044309,-2,-2,
104060127,-2,,
104060129,-2,,
104060131,-2,,
104060133,-2,,
104060135,-2,,
104060137,-2,,
104060139,-2,,
104060141,-2,,
104060143,-2,,
104060145,-2,,
104120923,2,,
104146313,1,,1
104152975,-2,,-2
104152979,0,,0
104153013,-2,,
104153017,0,,
104155995,-2,-2,-2
104155997,-2,-2,-2
104155999,-2,-2,-2
104156001,-2,-2,-2
104156003,-2,-2,-2
104156005,-2,-2,-2
104156007,-2,-2,-2
104172891,-2,,-2
104172895,0,,0
104181001,-2,,
104181005,0,,
104184337,8,8,
104184451,7,,7
104187971,0,,0
104188249,0,,0
104219485,-2,,-2
104219489,0,,0
104221689,0,0,
104221691,0,0,
104221695,0,0,
104221699,0,0,
104221737,0,0,
104224081,-2,,-2
104224629,0,,0
104234067,-2,,-2
104234073,0,,0
104251953,-2,-2,-2
104251955,-2,-2,-2
104251957,-2,,
104251959,-2,,
104251961,-2,,
104255293,-2,,-2
104261517,0,,
104290703,-2,,
104290705,-2,,-2
104290713,-2,,-1
104290717,0,,0
104291861,4,4,
104330483,10,,11
104384313,-2,-2,
104400890,-2,,-2
104401268,-2,,-2
104447077,7,7,
104473913,10,,10
104484596,-2,-2,
104490893,-2,-2,
104490995,10,,10
104490999,10,,10
104505294,-2,,-2
104505296,-2,,-2
104505298,-2,,-2
104505300,-2,,-2
104517685,-2,,-2
104520815,-2,,
104520817,-2,,
104520819,-2,,
104526799,-2,,-2
104530454,8,,8
104532505,-2,-2,-2
104532507,-2,-2,-2
104532509,-2,-2,-2
104543380,5,,
104544022,5,,5
104558617,11,,11
104569345,-2,,-2
104569349,0,,0
104575730,-2,-2,
104588301,-2,,-2
104588305,0,,0
104594563,-2,-2,
104600130,-2,,-2
104612427,-2,,
104614199,-2,,-2
104618006,-2,,
104623253,3,,3
104644490,2,,2
104649104,9,,9
104649110,10,,10
104649114,10,,10
104651855,-2,-2,-2
104651857,-2,-2,-2
104651859,-2,-2,-2
104656209,0,,
104691331,7,,
104749369,-2,,-2
104749373,0,,0
104749379,-2,,-2
104749383,0,,0
104749387,-2,,-2
104749391,0,,0
104749411,-2,,-2
104749415,0,,0
104749419,-1,,0
104749423,0,,0
104749469,-2,,-2
104749473,0,,0
104974521,-2,,-2
105009409,-2,,-2
105009843,0,,
105009845,0,,
105009847,0,,
105009849,0,,
105009851,0,,
105009853,0,,
105009855,0,,
105009857,0,,
105009859,0,,
105009861,0,,
105009863,0,,
105014163,0,,
105019042,-2,-2,
105026856,-2,,
105027061,-2,-2,-2
105027063,-2,-2,-2
105027065,-2,,
105027067,-2,,
105027069,-2,,
105103072,-2,-2,-2
105103074,-2,-2,-2
105103076,-2,-2,-2
105107359,-2,,
105109231,-2,,-2
105117561,-2,,-2
105117565,0,,0
105118629,-2,,-2
105118771,-2,-2,
