risico_id,type,verzekerde,omschrijving,soort,aantal
20715725,051,,,Uitbating,0
20715729,051,,,Onbepaald,0
20715733,051,,,Onbepaald,0
20715737,014,,,Materieel,0
20715741,130,,,Koopwaar,0
20715745,051,,"B.A. Onderneming","B.A. Onderneming",0
20715749,051,,"Online verkoop + levering van sanitaire toestellen en koppelingen",Uitbating,0
20715753,014,,,"BASISPREMIE VAST EN/OF DRAAGBAAR",0
20715757,014,,,"VAST MATERIEEL",0
20715765,015,,,"Inboedel (inhoud privé-gebruik)",0
20715769,051,,Restaurant,Uitbating,0
20715773,051,,,"Operator verpakkingen en verpakk",0
20715781,014,,,Materieel,0
20715785,130,,,Koopwaar,0
20715789,051,,"Agriculture : 11 - 20 ha
Kledingwinkel
Agréé ONE - maximum 25",Uitbating,0
20715793,051,,"Cafétéria - Cantine
Foodtruck in bijberoep
Toegelaten Kind en Gezin - maximum 25 kinderen",Uitbating,0
20715797,051,,,"Pizzeria zonder levering",0
20715801,051,,,"Pizzeria zonder levering",0
20715805,051,,,"Algemene voeding en  niet-indust",0
20715809,051,,,"Algemene voeding en  niet-indust",0
20715813,051,,,Cafe.,0
20715817,051,,,Cafe.,0
20715821,051,,,"Cafe, bar (met warme maaltijden ",0
20715833,051,,,"Bakkerij met verbruikssalon.",0
20715837,051,,,"Bakkerij, banketbakkerij met ver",0
20715841,051,,,"BAKKERIJ EN VERBRUIKZAAL.",0
20715845,051,,,METAALBOUW,0
20715853,051,,,"Pizzeria zonder levering (zonder",0
20715857,051,,,"Pizzeria zonder levering (zonder",0
20715861,014,,,MATERIEEL,0
20715865,130,,,KOOPWAAR,0
20715869,051,,,Restaurant,0
20715877,051,,,"Bakkerij + algemene voeding",0
20715881,051,,,"Slagerij (zonder bakken noch rok",0
20715889,051,,,"Pitta snack",0
20715893,051,,,"Pitta snack",0
20715897,051,,,Dakwerken,0
20715901,051,,,Dakwerken,0
20715905,014,,,MATERIEEL,0
20715909,130,,,KOOPWAAR,0
20715913,051,,,"Bakkerij, banketbakkerij met ver",0
20715917,051,,,"Bakkerij, banketbakkerij met ver",0
20715921,051,,,"Kleinhandel telefoon benodigdhed",0
20715925,051,,,"Kleinhandel telefoon benodigdhed",0
20715929,051,,,"BINNEN- EN BUITENSCHILDERWERKEN ",0
20715933,051,,,"BINNEN- EN BUITENSCHILDERWERKEN ",0
20715937,051,,,"Cafe zonder restauratie",0
20715941,051,,,"Cafe zonder restauratie",0
20715945,051,,,"Kleinhandel in souvenirs, gesche",0
20715949,130,,,KOOPWAAR,0
20715953,014,,,"INRICHTING + MATERIAAL",0
20715957,051,,,"Verzekeringstussenpersoon erkend",0
20715965,051,,,"BAKKER + VERBRUIKSZAAL (ZONDER W",0
20715969,014,,,MATERIEEL,0
20715973,130,,,KOOPWAAR,0
20715977,051,,,"Risico 1: Pittazaak",0
20715981,051,,,"Risico 1: Pittazaak",0
20715985,051,,,"Restaurant (met oliebad)",0
20715989,051,,,"Restaurant (met oliebad)",0
20715993,051,,,"snackbar met vetbad/oliebad",0
20715997,051,,,"snackbar met vetbad/oliebad",0
20716001,051,,"Organisation en faveur d'une cause d'intérêt public :associations
Pizzeria","Bedrijf (uitoefenen activiteit)",0
20716005,051,,,Onbepaald,0
20716009,051,,,"Pizzeria zonder levering (zonder",0
20716013,130,,,KOOPWAAR,0
20716017,014,,,MATERIEEL,0
20716021,051,,,"Pizzeria zonder levering (zonder",0
20716025,051,,,"Pizzeria zonder levering",0
20716029,051,,,"Pizzeria zonder levering",0
20716033,051,,,"Bakkerij, banketbakkerij met ver",0
20716037,051,,,"Bakkerij, banketbakkerij met ver",0
20716041,051,,,"Bakkerij, banketbakkerij met ver",0
20716045,051,,,"PLAATSEN VAN P V C RAMEN EN DEUR",0
20716057,051,,,"Restaurant pitta snack met gebru",0
20716061,051,,,"Restaurant pitta snack met gebru",0
20716065,051,,,"PIZZA-PITTA ZAAK",0
20716069,051,,,"PIZZA-PITTA ZAAK",0
20716073,051,,,"1/Bakkerij met atelier + algemen",0
20716085,051,,,"Warme bakker en algemene voeding",0
20716089,051,,,Horeca.,0
20716093,051,,,Horeca.,0
20716097,051,,,"Pizzeria zonder levering (met ol",0
20716101,051,,,"Pizzeria zonder levering (met ol",0
20716105,051,,,"BAKKERIJ MET VERBRUIKSZAAL.",0
20716109,051,,,"BAKKERIJ MET VERBRUIKSZAAL.",0
20716113,051,,,"Algemene bouw eensgezinswoningen",0
20716117,051,,,"Algemene bouw eensgezinswoningen",0
20716121,051,,,"Detailhandel voor algemene voedi",0
20716129,051,,,"Detailhandel voor algemene voedi",0
20716133,051,,,"Detailhandel voor algemene voedi",0
20716137,051,,,"Detailhandel voor algemene voedi",0
20716141,051,,,"SCHOONMAAK VAN GEBOUWEN NA VOLTO",0
20716145,051,,,"SCHOONMAAK VAN GEBOUWEN NA VOLTO",0
20716149,051,,,"Vrachtvervoer over de weg met ui",0
20716153,051,,,"Vrachtvervoer over de weg met ui",0
20716157,051,,,RESTAURANT,0
20716161,051,,,RESTAURANT,0
20716165,051,,,"KLEINHANDEL IN ALGEMENE VOEDING,",0
20716169,051,,,"KLEINHANDEL IN ALGEMENE VOEDING,",0
20716173,051,,,"KLEINHANDEL IN BROOD",0
20716177,051,,,"KLEINHANDEL IN BROOD",0
20716181,051,,,"KLEINHANDEL IN BROOD",0
20716185,051,,,"PRODUCTIE VAN PASTA EN BOEKHOUDK",0
20716189,051,,,"PRODUCTIE VAN PASTA EN BOEKHOUDK",0
20716197,051,,,"Warme bakkerij met oven, kleinha",0
20716201,051,,,"PRODUCTIE VAN PASTA EN BOEKHOUDK",0
20716205,051,,,"PRODUCTIE VAN PASTA EN BOEKHOUDK",0
20716209,051,,,"Bakkerij, banketbakkerij met ver",0
20716213,051,,,"Bakkerij, banketbakkerij met ver",0
20716217,051,,"B.A. Onderneming","B.A. Onderneming",0
20716221,051,,"Groot- en kleinhandel in bouwmaterialen met levering",Onbepaald,0
20716225,014,,,Materieel,0
20716229,130,,,Koopwaar,0
20716233,014,,,"Electronisch materieel",0
20716237,051,,,Snackbar,0
20716241,051,,,Snackbar,0
20716245,051,,"Vente au détail de produits surgelés
Maximum 6 kamers",Uitbating,0
20716249,051,,"Adviesbureaus,  audit-activiteiten",Uitbating,0
20716253,051,,,"Industriele reiniging van werven",0
20716261,051,,"B.A. Onderneming","B.A. Onderneming",0
20716265,014,,,Materieel,0
20716269,051,,,"Grond- en afbraakwerken",0
20716273,051,,,"Grond- en afbraakwerken",0
20716277,051,,,"Algemene schrijnwerken en glazen",0
20716285,100,,,"Niet gedefinieerd object",0
20716289,051,,,"Pizzeria zonder levering (met ol",0
20716293,051,,,"Pizzeria zonder levering (met ol",0
20716297,051,,"Vervangen van lampen en beperkt kabels vervangen (10 %) in opdracht va
n Katoennatie ( op een hoogte van 15 m)","Vervangen van lampen en beperkt ",0
20716301,051,,"Installatie/bekabeling van elektriciteit aan particuliere woningen + n
azicht","Installatie/bekabeling van elekt",0
20716305,150,,,Gebouw,0
20716309,051,,,"Restaurant (zonder oliebad)",0
20716313,051,,,"Restaurant (zonder oliebad)",0
20716317,051,,,"Activiteiten van renovatie van r",0
20716321,051,,,"Activiteiten van renovatie van r",0
20716325,051,,,"Bakkerij, banketbakkerij met ver",0
20716333,051,,,"Schoonmaak van niet industriele ",0
20716337,051,,,"Schoonmaak van niet industriele ",0
20716341,051,,"Café (taverne)
Maximum 6 kamers",Uitbating,0
20716345,014,,,MATERIEEL,0
20716349,014,,,INFORMATICAMATERIEEL,0
20716353,051,,,"onderhoud van grote koelmeubels ",0
20716361,051,,"B.A. Onderneming","B.A. Onderneming",0
20716365,051,,"B.A. Onderneming","B.A. Onderneming",0
20716369,051,,"B.A. Onderneming","B.A. Onderneming",0
20785791,16,,"Kantenpolijster Comandulli Musa 8+6 (met opties)",,0
20785793,16,,"Stofcabine Lunoluno CS40",,0
26147773,1,,"Industriële reiniging van werven, LEO BAEKELANDSTRAAT 77 - 2180 - EKEREN",,0
26147947,13,,"Lening - Verwarming, Isolatie en Sanitair",,0
26148831,4,,"Lening - 118039015262",,0
26151373,1,,Rechtsbijstand,,0
26151445,4,,"Familiale verzekering",,0
26153434,13,,"Overname aandelen",,0
26153444,12,,"Commercieel pand",,0
26153446,1,,"Ba uitbating",,0
26168520,13,,"Hyoptecaire lening",,0
26168668,1,,"Rechtsbijstand ",,0
26171521,13,,Lening,,0
26171715,13,,"Finan. Renting Ford transit connect ",,0
26171725,13,,"Lening ford transit europabank",,0
26171732,13,,"Autolening ford transit bank van breda",,0
26171833,13,,Fiets,,0
26171923,13,,"Finan. Renting Alpha Credit",,0
26171965,13,,"Finan. leing Europabank",,0
26172034,13,,"Persoonlijke lening",,0
26172060,8,,"Bouwplaat risico's",,0
26172074,12,,Inboedel,,0
26172131,13,,"Persoonlijke lening 10k",,0
26172133,13,,"Financiering voertuig jeep renegade",,0
26172217,13,,"Niet aanvaard",,0
26172226,13,,"Persoonlijke lening",,0
26172291,13,,"lening rennovatie",,0
26172293,3,,IPT,,0
26172894,13,,"Lening Mercedes Vito",,0
26172896,12,,Kassasysteem,,0
26172898,16,,"Koffie apparaten",,0
26172923,28,,Evenement,,0
26172925,28,,Evenement,,0
26172927,13,,"Lening Lynk & CO",,0
26172939,13,,"Persoonlijke lening, alpha credit",,0
26172952,13,,"Alpha credit persoonlijke lening",,0
26172969,13,,"Alpha credit",,0
26172973,13,,"Cofidis lening",,0
26172977,13,,"Alpha credit",,0
26173050,13,,Rennovatielening,,0
26173083,13,,"Terugbetaling lening, facturen",,0
26173087,13,,Cofidis,,0
26173097,13,,Rennovatielening,,0
26173099,13,,"Terugbetaling facturen lening",,0
26173103,13,,"Lening renting",,0
26173113,25,,"Pars assist reisverzekering",,0
26173158,13,,Pars,,0
26173196,13,,"10K Persoonlijke lening",,0
26173263,13,,"Persoonlijke lening",,0
26173272,13,,"15k - Persoonlijke lening",,0
26173277,13,,"Alpha credit lening",,0
26173299,13,,"Hypothecaire lening",,0
26173313,13,,"Persoonlijke leningen",,0
26173325,13,,"20k - Persoonlijke lening",,0
26173333,13,,"Alpha credit lening",,0
26173353,3,,IPT,,0
26173357,3,,IPT,,0
26173359,13,,"Persoonlijke leninigen",,0
26173365,13,,"Alpha lening",,0
26173410,13,,"Hypothecaire lening",,0
26173413,13,,"Zakenkrediet, lening",,0
26173553,4,,Rechtsbijstandverzekering,,0
26173593,13,,"Persoonlijke lening
",,0
26173609,13,,"LOA - Laser apparaat ",,0
26173647,13,,Autolening,,0
26173697,12,,"Autolening
",,0
26173705,13,,"LOA- Geldelijke Middelen",,0
26173709,13,,"Alpha credit lening",,0
26173723,13,,"Lening, renting",,0
26173725,25,,"Reisbijstand, pars assit",,0
26173803,25,,"Pars assist",,0
26173815,25,,reis,,0
26173829,25,,Pars,,0
26173843,25,,"Pars assist",,0
26173860,13,,"Renovatie werken",,0
26173863,25,,reis,,0
26174023,13,,/,,0
26174065,25,,"Pars assist reisbijstand",,0
26174077,25,,"Auto reisbijstand",,0
26174085,25,,"Auto reisbijstand",,0
26174089,25,,"Auto reisbijstand",,0
26174099,25,,"Auto reisbijstand",,0
26174105,25,,"Auto reisbijstand",,0
26174139,26,,"Auto reisbijstand",,0
26174145,25,,"Auto reisbijstand",,0
26174153,25,,"Auto reisbijstand",,0
26174155,28,,"	Evenement Open Antwerpen, 03/05/2026",,0
26174157,28,,"	Evenement Open Antwerpen, 22/11/2024-23/11/2024",,0
26174161,25,,"Auto reisbijstand",,0
26174163,25,,"Auto reisbijstand",,0
26174165,25,,"Auto reisbijstand",,0
26174175,25,,"Auto reisbijstand",,0
26174177,25,,"Auto reisbijstand",,0
26174191,25,,"Auto reisbijstand",,0
26174223,13,,"Europabank persoonlijke lening",,0
26174279,13,,"Renting, leasing",,0
26174294,13,,lening,,0
26174300,13,,"	Laarsebaan 84",,0
26174308,13,,"Peugeot boxer  2EAE605 ",,0
26174323,13,,"Persoonlijke lening",,0
26174327,13,,"Persoonlijke lening",,0
26174329,13,,"Persoonlijke lening",,0
26174353,13,,Lening,,0
26174357,25,,"Pars assist citroen",,0
26174363,13,,"Lening Mercedes-Benz GLA 180D",,0
26174367,25,,"Opel Meriva 1YDX118",,0
26174397,13,,Lening,,0
26174415,13,,"Renting CLA45",,0
26174429,1,,"VIva Wallet krediet",,0
26174433,13,,"Laaglandlaan 73 + Meereigen 3 - 5",,0
26174449,1,,"Kredietovereenkomsten ",,0
26174469,13,,Renovatie,,0
