risico_verz_id,risico_id,bet_type_id
2168635,20686943,58144699
2179403,20715073,58256021
2181308,20715085,58300560
2179501,20715109,58256125
2179561,20715113,58256182
2179549,20715117,58256167
2179513,20715129,58256137
2179516,20715133,58256137
2179342,20715137,58255780
2179351,20715141,58255843
2179352,20715149,58255847
2179355,20715165,58255907
2383953,20715169,58256062
2383956,20715169,58256065
2383959,20715173,58256062
2383962,20715173,58256065
2179582,20715181,58256200
2179394,20715217,58256009
2179415,20715221,58188617
2179372,20715225,58255954
2179381,20715229,58255966
2179504,20715237,58256131
2179406,20715241,58256024
2179400,20715249,58256018
2179543,20715253,58256161
2179552,20715257,58256176
2179555,20715261,58256176
2179510,20715265,58256134
2179564,20715273,58256185
2179519,20715277,58256146
2179573,20715281,58256191
2179567,20715285,58256188
2179522,20715289,58256149
2179525,20715293,58256149
2179588,20715305,58256212
2179585,20715309,58256206
2179600,20715333,58189889
2266667,20715337,65325815
2179603,20715341,58189905
2179528,20715349,58256152
2179531,20715353,58256155
2179534,20715357,58256155
2179537,20715377,58256158
2179540,20715381,58256158
2179480,20715389,58256104
2179387,20715397,58255978
2179594,20715429,58256221
2179591,20715441,58256215
2179477,20715457,58256098
2179378,20715469,58255963
2179438,20715481,58256053
2179441,20715485,58256053
2179424,20715493,58256042
2178951,20715501,58189493
2178954,20715505,58189497
2179465,20715517,58256071
2179558,20715545,58256179
2179433,20715593,58256048
2179483,20715601,58256107
2179471,20715617,58188433
2179459,20715629,58256068
2179462,20715633,58256068
2179474,20715641,58256095
2179418,20715649,58256036
2179570,20715657,58256188
2179489,20715661,58256113
2179444,20715665,58256056
2179427,20715669,58256045
2179430,20715673,58256045
2179436,20715713,58256051
2260289,20715721,58253130
2171334,20716962,58190986
2173535,20733631,58206179
2173590,20734082,58206486
2173591,20734095,58206487
2173595,20734111,58206491
2478187,20773179,58253121
2328638,20773185,58253124
2179390,20776390,58255987
2179393,20776402,58255996
2179409,20776433,58256033
2179412,20776439,58256033
2179421,20776454,58256039
2179468,20776516,58256083
2179486,20776576,58256110
2179492,20776588,58256119
2179495,20776591,58256119
2179498,20776594,58256119
2179507,20776612,58256131
2179576,20776702,58256197
2179579,20776705,58256197
2179615,20776855,58256353
2180562,20784866,58264190
2180566,20784874,58264202
2239823,20798626,58308058
2279063,20814788,58332416
2367739,20829185,58346354
2298293,20831513,58348217
2298296,20831516,58348217
2522271,20832087,79123077
2187367,20882893,58416193
2190436,20915299,58469182
2191175,20922803,58477838
2238362,20985938,58592300
2278751,20988152,58594472
2203984,21013057,58615684
2203987,21013060,58615687
2203990,21013063,58615690
2203993,21013069,58615693
2206006,21156361,58253133
2369728,21634267,59202673
2225265,21689256,59362656
2228415,21730389,59593086
2234727,22213317,61771173
2362459,22322057,62133056
2240403,22334703,62180643
2240897,22338725,62257985
2246714,22435544,62854454
2263083,22592490,64520556
2264715,22606611,64782270
2267322,22625805,65444715
2267327,22625846,65445209
2268150,22630785,65821341
2279921,22708340,68000201
2279124,22740276,67992741
2281664,22769648,68180297
2282049,22773894,68227905
2282052,22773897,68227905
2282121,22774422,68232252
2284223,22794794,68456132
2285918,22808588,68616551
2288406,22947903,68931036
2288831,23055335,69089267
2288834,23055341,69089267
2293158,23094324,69796026
2293451,23097260,69851330
2296260,23118297,70221897
2297565,23129975,70309971
2300335,23197783,70697332
2300710,23199571,70713973
2304409,23227687,71322241
2304664,23228881,71345836
2312405,23271059,72413231
2327411,23318489,74036192
2323853,23338631,74455325
2326160,23350622,74665634
2330485,23382865,75429304
2333917,23405530,75878161
2334271,23409382,75947203
2341567,23456107,76699097
2342917,23472605,76726053
2349009,23507034,76760811
2349180,23508408,76762182
2362473,23768625,77283516
2364417,23784633,77458065
2367108,23802717,77543457
2368321,23827588,77570038
2371301,23848628,77601227
2374437,23867664,58188673
2383947,23876526,58256062
2383950,23876526,58256065
2379338,23892653,77665784
2380104,23896443,77669640
2380107,23896446,77669640
2383728,23916864,77690877
2386511,23929874,77704073
2386514,23929877,77704073
2575781,23930121,58190069
2403183,24212229,77979975
2404437,24223182,77602251
2408049,24274458,78040764
2409757,24285667,78082630
2576559,24322090,80098203
2416118,24326762,58602473
2416121,24326768,78188015
2416280,24327950,76886757
2552121,24327953,78189287
2416969,24333115,76888452
2418259,24342682,78205267
2419469,24348884,78275387
2420054,24352274,78279902
2421898,24360187,78352501
2423347,24367933,68070422
2426195,24382154,78372686
2431604,24409982,78410015
2433818,24419768,78418679
2434897,24424333,78422944
2438675,24443945,78442046
2438678,24443948,78442046
2438681,24443951,78442046
2438684,24443954,78442046
2438717,24444170,78442307
2439550,24449698,78448246
2440484,24456920,78455918
2440796,24458642,78457535
2446343,24473837,76688317
2447189,24477593,78445397
2448482,24482948,78476156
2564925,24488504,79919874
2450803,24489331,78481072
2451652,24493690,77701925
2606933,24493895,80346479
2451713,24493901,78486593
2452103,24496040,59203226
2453335,24501349,78494575
2453338,24501352,78494575
2453341,24501355,78494575
2455622,24512423,78504107
2455934,24514190,78505775
2457076,24518803,78510466
2457079,24518815,78510469
2457082,24518818,78510469
2457085,24518821,78510469
2459168,24529595,78520337
2460260,24539012,78547751
2460662,24543302,78551465
2461265,24547760,78556007
2465834,24575054,78579872
2467552,24584302,67709831
2469286,24593941,78598807
2472851,24611540,78616979
2481050,24693356,78694163
2485337,24720929,78721184
2485525,24722752,78723091
2485850,24724991,59567159
2485853,24724994,59567159
2487935,24738995,78738128
2488987,24745423,78745333
2490024,24754066,78754544
2490026,24754068,78754544
2490588,24757815,78759147
2493962,24779689,78781516
2494983,24787773,58567382
2494986,24787776,58567382
2494997,24787856,78790133
2496549,24798123,78799554
2497176,24802245,78803574
2498697,24808491,77401542
2498958,24810048,78811269
2575257,24829235,77664083
2501850,24830361,78830673
2522218,24831518,79121317
2522219,24831521,79121321
2502075,24832308,78030547
2502081,24832344,78832335
2502228,24833445,78833340
2502231,24833445,78833343
2502234,24833445,78833346
2502237,24833451,78833340
2502240,24833451,78833343
2502243,24833451,78833346
2502246,24833454,78833340
2502249,24833454,78833343
2502252,24833454,78833346
2502407,24834641,78834518
2504136,24851496,78859992
2504556,24854307,78861858
2509268,24877481,78882671
2510268,24883068,78763731
2510357,24883523,78888413
2510885,24886334,78890789
2511546,24889572,78893541
2511846,24891135,78894918
2511849,24891138,78894918
2511852,24891141,78894918
2512575,24895695,78511703
2513495,24902174,78913025
2515359,24913494,78926376
2515419,24914070,78926877
2515422,24914073,78926883
2516816,25041746,79013846
2540794,25084083,79718857
2517356,25084577,79043315
2517417,25085121,79043772
2517570,25086852,79045431
2517690,25087677,78038157
2518663,25173799,79106167
2519338,25179355,79111348
2522595,25194009,79126320
2522598,25194012,79126320
2522967,25196775,79128939
2523735,25205400,79138419
2523934,25207222,79145509
2524956,25214712,79158981
2525242,25216402,68391404
2525377,25217731,79162339
2525457,25218570,79163160
2526769,25220101,79164505
2528073,25230249,79173933
2532705,25253769,79200249
2565206,25255459,79922279
2533134,25256016,79203243
2534488,25264081,79211509
2534799,25264986,79212369
2534802,25264989,79212369
2534805,25264992,79212369
2537965,25292323,79238458
2538300,25295874,79242507
2539098,25365366,79304817
2539131,25365945,79305183
2539633,25369546,79308646
2539665,25369944,79308969
2539668,25369944,79308972
2540844,25645512,79719171
2540889,25645914,79719600
2540892,25645914,79719603
2540895,25645920,79719600
2540898,25645920,79719603
2540901,25645932,79719600
2540904,25645932,79719603
2540952,25646214,76809042
2556931,25682370,79876324
2544748,25723147,79789045
2544751,25723153,79789045
2545941,25726632,79791777
2545950,25726677,79791810
2546674,25740772,79807993
2546677,25740778,79807993
2547969,25747419,79113055
2571741,25748862,80054927
2571745,25748868,80054927
2548383,25749210,78510620
2548780,25751521,79819348
2550169,25761226,79828900
2550327,25762131,79829910
2550330,25762137,79829925
2550367,25762432,79830268
2565362,25762432,79924094
2553171,25783065,79852440
2553174,25783068,79852440
2554146,25789458,79858980
2554149,25789461,79858980
2554152,25789464,79858980
2555378,25797476,79867547
2555560,25798702,79869496
2572127,25806794,80057121
2557366,25806796,79877395
2557567,25807999,79878268
2557763,25808783,79878932
2559931,25820725,79848533
2561527,25829959,79900651
2561578,25830472,79901239
2561911,25832878,78750794
2562938,25835792,79906706
2563409,25839323,79910108
2563755,25839358,79912056
2563758,25839361,79912056
2563605,25840467,79911153
2564762,25848677,79918511
2564922,25849821,79919874
2565173,25851623,79922168
2565365,25853156,79924094
2565455,25853570,79924550
2565785,25854929,79925843
2565809,25855040,77664065
2565812,25855043,77664065
2566718,25871576,79946495
2567309,25874153,79949531
2567651,25875458,79950650
2568167,25877963,79969547
2568170,25877963,79969550
2568173,25877966,79969547
2568176,25877966,79969550
2568179,25877969,79969547
2568182,25877969,79969550
2568444,25878934,79990180
2568606,25880166,79991152
2569131,25882787,79993971
2569133,25882789,79993971
2569135,25882791,79993971
2569137,25882793,79993971
2570349,25886137,80051777
2571873,25890559,80055673
2572755,25896349,80068061
2572791,25896427,80068137
2572793,25896429,80068137
2572955,25897273,80068989
2572957,25897273,80068991
2572959,25897273,80068993
2573351,25899729,80071473
2573353,25899729,80071475
2573355,25899731,80071473
2573357,25899731,80071475
2574585,25904335,80086129
2574780,25905616,80087178
2574782,25905618,80087178
2575418,25908924,80090302
2575420,25908926,80090302
2576447,25914601,77742587
2576597,25915203,80098613
2578860,25929074,80111140
2578862,25929076,80111140
2578931,25929479,80111535
2578933,25929481,80111535
2579401,25957607,80140403
2579403,25957609,80140403
2579702,25959310,80142170
2579968,25960928,80143764
2579970,25960928,80143766
2579972,25960928,80143768
2579974,25960928,80143770
2579976,25960930,80143764
2579978,25960930,80143766
2579980,25960930,80143768
2579982,25960930,80143770
2579984,25960932,80143764
2579986,25960932,80143766
2579988,25960932,80143768
2579990,25960932,80143770
2579992,25960934,80143764
2579994,25960934,80143766
2579996,25960934,80143768
2579998,25960934,80143770
2582077,25968839,80151415
2582079,25968841,80151415
2582235,25969333,80151921
2582237,25969335,80151921
2582573,25971497,80153731
2582575,25971499,80153731
2583527,25976457,80158913
2583529,25976457,80158915
2583531,25976457,80158917
2583533,25976457,80158919
2583535,25976457,80158921
2583539,25976459,80158913
2583541,25976459,80158915
2583543,25976459,80158917
2583545,25976459,80158919
2583547,25976459,80158921
2583551,25976461,80158913
2583553,25976461,80158915
2583555,25976461,80158917
2583557,25976461,80158919
2583559,25976461,80158921
2583563,25976463,80158913
2583565,25976463,80158915
2583567,25976463,80158917
2583569,25976463,80158919
2583571,25976463,80158921
2583575,25976465,80158913
2583577,25976465,80158915
2583579,25976465,80158917
2583581,25976465,80158919
2583583,25976465,80158921
2583587,25976467,80158913
2583589,25976467,80158915
2583591,25976467,80158917
2583593,25976467,80158919
2583595,25976467,80158921
2583765,25977485,80159833
2584383,25979585,80161965
2584943,25981947,80164595
2587203,25994027,80177131
2587205,25994029,80177131
2587970,25997290,80180546
2587972,25997290,80180548
2587974,25997292,80180546
2587976,25997292,80180548
2588391,26000129,80183431
2588393,26000131,80183431
2588439,26000635,80183975
2588588,26001592,80184874
2588823,26003357,80085047
2589158,26005526,79241557
2589160,26005528,79241557
2589162,26005530,79241557
2589210,26005804,80189328
2589472,26006860,80190528
2589603,26008175,80191767
2589605,26008177,80191767
2589607,26008179,80191767
2589829,26009737,80193235
2590215,26011221,80194677
2590217,26011223,80194677
2590404,26012506,80195954
2590406,26012514,80195960
2590408,26012516,80195960
2590871,26015027,80198239
2590873,26015027,80198241
2590875,26015029,80198239
2590877,26015029,80198241
2590879,26015031,80198239
2590881,26015031,80198241
2591829,26021367,80205375
2591831,26021367,80205377
2591834,26021374,80205380
2591869,26021521,80205527
2592711,26027355,80211277
2592713,26027355,80211279
2592715,26027357,80211277
2592717,26027357,80211279
2596071,26040117,80225595
2596073,26040117,80225597
2596075,26040119,80225595
2596077,26040119,80225597
2596079,26040121,80225595
2596081,26040121,80225597
2595027,26042373,80227697
2595511,26045629,80231151
2604629,26049217,80290747
2596085,26049383,80234467
2596191,26049769,80234817
2596193,26049771,80234817
2596367,26051211,80236155
2596369,26051213,80236155
2596752,26054068,80238658
2597975,26061719,80245315
2597977,26061721,80245315
2597979,26061723,80245315
2598030,26061936,80245468
2598032,26061936,80245470
2598034,26061938,80245468
2598036,26061938,80245470
2598069,26062361,64731164
2598303,26063771,80247217
2599647,26072737,78388037
2599649,26072739,78388037
2600154,26076670,80259476
2600291,26077919,80260421
2600293,26077921,80260421
2600295,26077923,80260421
2600463,26079077,80261593
2600465,26079077,80261595
2600467,26079079,80261593
2600469,26079079,80261595
2600471,26079081,80261593
2600473,26079081,80261595
2600621,26080151,80262569
2600692,26080340,80222839
2600694,26080342,80222839
2600777,26080773,80263047
2600779,26080775,80263047
2600937,26082399,80264923
2600939,26082401,80264923
2601220,26084004,80267466
2601222,26084004,80267468
2601224,26084006,80267466
2601226,26084006,80267468
2601300,26084504,80267934
2601302,26084506,80267934
2601390,26085078,80268498
2601392,26085080,80268498
2601409,26085351,80268641
2601411,26085353,80268641
2601431,26085471,80268793
2601433,26085473,80268793
2601884,26088276,80271244
2602383,26091719,80274813
2602385,26091721,80274813
2602387,26091723,80274813
2602587,26093231,80276381
2602589,26093233,80276381
2602866,26095518,80278444
2602879,26095751,80278535
2602946,26096238,80278876
2602948,26096238,80278878
2602950,26096240,80278876
2602952,26096240,80278878
2602954,26096242,80278876
2602956,26096242,80278878
2603015,26096649,80279231
2603017,26096651,80279231
2603133,26097913,80280225
2603135,26097915,80280225
2603234,26098490,80280844
2603695,26101675,80283915
2604351,26107369,58544084
2604353,26107369,80289179
2604355,26107371,58544084
2604357,26107371,80289179
2604359,26107373,58544084
2604361,26107373,80289179
2604363,26107375,58544084
2604365,26107375,80289179
2604631,26107957,80290747
2605111,26112291,80293559
2605115,26112333,80293589
2605117,26112335,80293589
2605458,26114860,80296002
2606181,26119493,80300317
2606184,26119527,80300317
2606186,26119540,80300354
2606188,26119542,80300354
2606245,26120293,80316127
2606247,26120295,80316127
2606249,26120297,80316127
2607853,26145572,80260901
2606751,26147265,80345889
2606753,26147265,80345891
2606755,26147267,80345889
2606757,26147267,80345891
2606759,26147269,80345889
2606761,26147269,80345891
2606971,26148375,80249272
2606973,26148377,78731407
2607103,26149451,80347355
2607726,26152098,80349530
2607728,26152098,80349532
2607730,26152098,80349534
2608131,26168863,80367547
2608133,26168863,80367549
2608135,26168865,80367547
2608137,26168865,80367549
2608139,26168871,80367547
2608141,26168871,80367549
2608143,26168873,80367547
2608145,26168873,80367549
